hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
3.0,,0.0,,9.75,0.46,0.4545,7.1,,2.0,4.0,6.0
4.0,0.0,0.0,0.0,9.75,0.46,0.4545,,0.194,18.259999999999998,1.0,3.0
6.0,0.0,0.0,0.0,9.75,0.42,-2.875,0.77,0.2985,0.0,2.0,2.0
,0.0,0.0,0.0,2.0,0.4,-4.0,0.76,0.194,,1.0,1.0
,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,17.2698625,,8.0,8.0
9.0,0.0,0.0,0.0,2.0,0.38,0.3939,0.76,,1.0,19.0,20.0
,0.0,0.0,,2.0,3.31015,-2.875,0.81,0.2239,18.259999999999998,46.0,53.0
11.0,,0.0,0.0,2.0,0.36,,7.1,-7.4950625,-11.1,54.0,70.0
12.0,0.0,,0.0,2.0,0.36,0.3333,,0.2985,20.0,73.0,-22.322812499999998
13.0,0.0,,-4.8999999999999995,2.0,0.36,0.3485,0.66,17.2698625,11.0,64.0,75.0
14.0,0.0,,0.0,-6.25,,0.3485,0.76,0.194,,,
15.0,,0.0,,3.0,0.34,-2.875,7.1,0.1642,18.259999999999998,-5.7539375,
16.0,0.0,13.8775,0.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0
17.0,0.0,13.8775,0.0,1.0,0.34,4.125,0.57,17.2698625,7.0,58.0,65.0
18.0,0.0,,,2.0,0.36,0.3333,0.46,0.3284,-11.1,43.0,53.0
,0.0,0.0,-4.8999999999999995,1.0,0.32,0.2879,-4.5,,,29.0,30.0
20.0,,0.0,,1.0,0.3,,0.39,0.3582,18.259999999999998,17.0,-22.241687499999998
21.0,18.335,0.0,0.0,,0.26,0.2273,7.1,,-10.664375,20.0,31.0
12.785,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,,0.0,9.0,
23.0,0.0,0.0,0.0,1.0,-2.35025,4.125,-4.5,0.1642,0.0,8.0,8.0
0.0,0.0,1.0,1.0,-2.5,0.22,0.197,0.44,0.3582,0.0,5.0,37.345012499999996
,0.0,1.0,1.0,1.0,0.2,0.1667,,0.4179,-11.1,2.0,2.0
4.0,-11.225,-14.213125000000002,,1.0,0.16,0.1364,,0.3881,0.0,1.0,1.0
5.0,0.0,,1.0,1.0,0.16,,0.47,0.2836,0.0,3.0,3.0
6.0,0.0,1.0,-4.8999999999999995,1.0,0.14,0.1061,0.5,-7.4950625,18.259999999999998,30.0,
,0.0,1.0,1.0,,,,0.5,17.2698625,1.0,63.0,-22.241687499999998
8.0,0.0,1.0,,1.0,-2.35025,,0.5,12.497037500000001,18.259999999999998,153.0,154.0
9.0,,,1.0,1.0,0.16,0.1364,0.43,0.3881,-11.1,81.0,88.0
10.0,0.0,1.0,1.0,9.75,,0.1667,0.43,,,33.0,44.0
11.0,0.0,1.0,,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,-22.241687499999998
12.0,0.0,1.0,8.14,1.0,0.22,0.2121,0.35,-10.116437499999998,13.0,48.0,37.345012499999996
13.0,0.0,1.0,1.0,1.0,,0.2121,0.35,,-11.1,,61.0
-7.9750000000000005,0.0,1.0,1.0,,0.26,0.2424,0.3,17.2698625,11.0,66.0,77.0
15.0,0.0,13.8775,1.0,1.0,0.26,0.2424,0.3,17.2698625,,-12.616437499999998,
16.0,,13.8775,-9.28025,1.0,0.26,0.2424,-4.5,0.2537,9.0,67.0,76.0
12.785,0.0,1.0,1.0,1.0,0.24,0.2273,7.1,0.2239,11.0,146.0,157.0
,-11.225,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0
19.0,,,1.0,,0.2,0.2576,0.47,,18.259999999999998,102.0,110.0
20.0,,-13.976812500000001,1.0,1.0,0.2,,0.47,0.1045,3.0,49.0,52.0
,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0
22.0,18.335,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,,,
23.0,18.335,1.0,1.0,1.0,0.18,,0.55,0.1045,1.0,21.289862499999998,12.0
0.0,0.0,,1.0,1.0,3.31015,0.1818,0.55,0.1045,0.0,5.0,5.0
12.785,0.0,,-4.8999999999999995,1.0,0.16,-4.0,0.59,-10.116437499999998,-11.1,,
2.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.63,0.1343,0.0,,1.0
4.0,0.0,2.0,1.0,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0
,0.0,-8.462499999999999,1.0,1.0,0.12,0.1515,0.68,0.1045,0.0,9.8523625,-22.241687499999998
6.0,0.0,23.461875,1.0,1.0,,0.1515,0.74,0.1045,0.0,9.8523625,37.345012499999996
,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0
8.0,0.0,2.0,,1.0,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0
9.0,0.0,2.0,-9.28025,1.0,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0
10.0,0.0,2.0,1.0,2.0,,,0.69,0.3284,5.0,,
11.0,0.0,2.0,1.0,1.0,0.22,4.125,0.51,-10.116437499999998,7.0,-5.7539375,57.0
-6.25,0.0,2.0,1.0,1.0,,0.2273,0.51,0.1642,12.0,-5.7539375,78.0
13.0,0.0,,1.0,1.0,0.24,0.2273,0.56,17.2698625,18.0,9.8523625,
-7.9750000000000005,,13.8775,,1.0,0.26,0.2576,,0.2239,9.0,54.0,63.0
12.785,0.0,,1.0,,,0.2727,0.52,0.2537,16.0,48.0,65.0
16.0,0.0,2.0,,1.0,-2.35025,0.2879,0.49,0.2537,,68.0,83.0
17.0,0.0,2.0,1.0,-6.25,0.28,0.2727,7.1,0.2239,10.0,202.0,212.0
18.0,,2.0,1.0,1.0,-2.35025,0.2576,0.48,0.194,3.0,179.0,182.0
19.0,0.0,2.0,-9.28025,1.0,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0
12.785,0.0,2.0,1.0,-6.25,0.24,0.2576,0.48,0.1045,1.0,,
21.0,,2.0,,1.0,0.22,,0.64,0.0,-11.1,48.0,48.0
22.0,-11.225,2.0,1.0,1.0,0.22,0.2576,0.64,17.2698625,1.0,34.0,35.0
23.0,0.0,2.0,8.14,1.0,0.2,4.125,0.69,0.0896,2.0,9.8523625,11.0
0.0,0.0,3.0,,9.75,0.2,,0.64,0.0,0.0,6.0,6.0
1.0,0.0,3.0,1.0,1.0,0.16,0.197,0.74,0.0896,0.0,,6.0
2.0,0.0,3.0,1.0,1.0,0.16,0.197,,0.0896,-10.664375,2.0,2.0
4.0,0.0,3.0,,1.0,0.24,0.2273,0.48,0.2239,0.0,2.0,-22.322812499999998
12.785,0.0,3.0,1.0,,0.22,4.125,0.47,0.1642,-11.1,3.0,3.0
6.0,0.0,3.0,1.0,1.0,,0.197,0.47,0.2239,0.0,33.0,-22.322812499999998
7.0,0.0,,1.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0
8.0,0.0,13.8775,1.0,,0.2,,0.4,0.2985,3.0,192.0,195.0
9.0,0.0,,1.0,1.0,0.22,0.197,7.1,0.3284,6.0,109.0,115.0
10.0,0.0,3.0,1.0,-2.5,0.22,0.197,0.37,0.3284,4.0,53.0,57.0
11.0,0.0,23.3200875,-4.8999999999999995,-6.25,0.26,0.2273,0.33,0.3284,12.0,34.0,37.345012499999996
,0.0,3.0,1.0,,0.26,0.2273,0.33,0.3284,,74.0,79.0
-7.9750000000000005,0.0,3.0,1.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0
14.0,0.0,3.0,1.0,,-2.35025,0.2879,0.28,0.194,10.0,52.0,62.0
,,3.0,-4.8999999999999995,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0
16.0,0.0,-8.462499999999999,1.0,1.0,0.3,4.125,0.28,0.0896,4.0,-12.616437499999998,89.0
-7.9750000000000005,0.0,-13.976812500000001,1.0,1.0,3.31015,0.2273,-4.5,0.194,18.259999999999998,186.0,190.0
12.785,18.335,-8.462499999999999,1.0,1.0,0.24,0.2424,,0.1343,3.0,166.0,169.0
19.0,18.335,13.8775,1.0,1.0,0.24,0.2576,0.38,,5.0,-5.7539375,132.0
20.0,,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0
21.0,-11.225,3.0,1.0,1.0,3.31015,0.197,0.51,0.194,-11.1,,43.0
22.0,,-13.976812500000001,,1.0,,0.197,0.55,,1.0,41.0,
23.0,0.0,3.0,1.0,-6.25,3.31015,0.2576,0.47,0.0,1.0,18.0,19.0
-7.9750000000000005,0.0,13.8775,-4.8999999999999995,1.0,0.18,0.2424,0.55,0.0,,,
1.0,0.0,13.8775,1.0,1.0,0.16,0.2273,-4.5,-7.4950625,0.0,4.0,4.0
2.0,0.0,4.0,1.0,,0.16,0.2273,0.64,,0.0,-5.7539375,2.0
4.0,-11.225,4.0,1.0,2.0,0.16,0.197,0.64,0.0896,0.0,,1.0
5.0,0.0,4.0,1.0,9.75,0.14,6.0,,0.0896,,,4.0
6.0,,4.0,-9.28025,2.0,3.31015,0.1667,0.63,,-10.0,,36.0
7.0,0.0,4.0,1.0,2.0,0.16,0.2273,-4.5,0.0,0.0,95.0,95.0
,0.0,4.0,1.0,9.75,0.16,0.2273,0.59,0.0,,216.0,219.0
9.0,0.0,,1.0,2.0,0.18,4.125,0.51,0.0,6.0,116.0,-22.322812499999998
10.0,0.0,4.0,15.568150000000001,1.0,3.31015,0.2576,0.47,0.0,,21.289862499999998,37.3936875
-6.25,0.0,4.0,-9.28025,1.0,0.22,0.2576,-4.5,0.0896,2.0,57.0,
12.0,0.0,4.0,1.0,1.0,,4.125,0.35,0.0,-10.664375,,84.0
13.0,0.0,4.0,1.0,1.0,0.26,,-4.5,0.1045,12.0,55.0,37.3936875
14.0,18.335,4.0,1.0,1.0,0.28,,0.36,17.2698625,11.0,59.0,70.0
,0.0,,1.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,
16.0,-11.225,4.0,1.0,1.0,0.26,0.2576,0.38,0.1642,12.0,21.289862499999998,86.0
-6.25,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1642,,163.0,172.0
18.0,18.335,4.0,1.0,,0.22,,0.51,0.1343,5.0,158.0,163.0
19.0,18.335,,1.0,1.0,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0
20.0,18.335,4.0,1.0,,,,0.51,,3.0,66.0,69.0
,0.0,,15.568150000000001,2.0,3.31015,0.2121,0.55,,0.0,,48.0
22.0,-11.225,,1.0,2.0,0.22,-2.875,0.51,17.2698625,,51.0,52.0
23.0,0.0,13.8775,-4.8999999999999995,2.0,0.2,0.197,0.59,0.194,,19.0,37.3936875
0.0,18.335,5.0,1.0,2.0,3.31015,,0.64,0.194,4.0,21.289862499999998,17.0
,0.0,,,2.0,0.2,,,0.2239,2.0,5.0,
2.0,0.0,,1.0,2.0,-2.35025,0.197,0.69,0.2239,0.0,1.0,1.0
4.0,18.335,5.0,1.0,2.0,0.2,0.2121,0.69,0.1343,0.0,1.0,-22.241687499999998
5.0,0.0,5.0,,3.0,,0.2727,0.55,0.0,0.0,5.0,
12.785,18.335,5.0,1.0,2.0,0.2,0.2576,0.69,-7.4950625,8.0,-12.616437499999998,34.0
7.0,0.0,5.0,,1.0,0.2,,0.69,0.1343,8.0,76.0,-22.322812499999998
-7.9750000000000005,,5.0,,1.0,0.2,0.197,0.51,0.2537,20.0,190.0,210.0
-7.9750000000000005,0.0,-8.462499999999999,1.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,37.3936875
10.0,0.0,5.0,1.0,1.0,,0.197,0.37,0.3284,16.0,47.0,63.0
-7.9750000000000005,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.2239,19.0,48.0,67.0
12.0,0.0,5.0,1.0,2.0,0.2,4.125,,,9.0,50.0,
13.0,,-8.462499999999999,1.0,,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0
14.0,0.0,5.0,,2.0,,0.197,0.4,17.2698625,7.0,43.0,50.0
15.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0
16.0,18.335,5.0,8.14,2.0,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0
17.0,0.0,5.0,1.0,2.0,0.2,,,0.0,9.0,178.0,187.0
18.0,0.0,-14.213125000000002,1.0,1.0,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0
19.0,0.0,,1.0,1.0,0.16,0.197,-4.5,0.0896,3.0,92.0,
20.0,0.0,5.0,1.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0
,0.0,,1.0,1.0,0.18,0.197,0.47,,0.0,39.0,39.0
22.0,0.0,5.0,,2.0,0.18,0.197,0.43,0.1642,2.0,34.0,36.0
23.0,0.0,5.0,8.14,9.75,0.18,-2.875,0.51,0.1642,1.0,14.0,
0.0,-11.225,6.0,0.0,9.75,0.18,0.197,0.51,0.1642,1.0,24.0,25.0
1.0,0.0,6.0,8.14,2.0,0.18,0.2121,0.55,0.0896,1.0,21.289862499999998,16.0
2.0,18.335,6.0,0.0,9.75,0.18,0.2424,0.55,0.0,3.0,13.0,16.0
3.0,0.0,-8.462499999999999,0.0,3.0,0.18,4.125,,0.1642,0.0,7.0,7.0
4.0,0.0,23.3200875,0.0,3.0,0.18,0.197,0.55,0.1642,0.0,1.0,1.0
12.785,18.335,6.0,0.0,-6.25,3.31015,0.1667,0.74,12.497037500000001,0.0,5.0,5.0
,0.0,6.0,-4.8999999999999995,,0.16,0.1667,7.1,0.1642,-10.664375,,2.0
7.0,-11.225,6.0,0.0,,0.16,0.1818,0.74,0.1045,,8.0,9.0
9.75,0.0,6.0,0.0,3.0,0.16,0.1818,0.93,12.497037500000001,,15.0,15.0
9.0,-11.225,6.0,0.0,3.0,,6.0,-4.5,0.1045,0.0,20.0,20.0
10.0,0.0,-14.213125000000002,8.14,2.0,0.18,0.197,,0.1642,5.0,56.0,
,,6.0,0.0,2.0,-2.35025,0.1818,0.69,0.3881,2.0,60.0,62.0
12.0,0.0,6.0,-4.8999999999999995,2.0,0.2,0.1818,0.59,,8.0,90.0,
13.0,0.0,6.0,0.0,3.5,3.31015,0.1818,0.44,-10.116437499999998,7.0,95.0,102.0
14.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.4925,12.0,83.0,-22.322812499999998
15.0,0.0,6.0,0.0,1.0,0.2,4.125,0.32,0.4478,5.0,69.0,74.0
16.0,0.0,6.0,-4.8999999999999995,9.75,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0
12.785,0.0,6.0,0.0,1.0,-2.35025,0.1212,0.37,0.5522,18.259999999999998,,69.0
18.0,0.0,-8.462499999999999,0.0,1.0,,0.1212,,0.2985,,52.0,55.0
19.0,0.0,6.0,0.0,1.0,0.14,0.1212,,0.2537,4.0,26.0,-22.241687499999998
20.0,0.0,6.0,0.0,1.0,0.12,0.1212,0.36,0.2537,0.0,-5.7539375,28.0
21.0,,6.0,0.0,1.0,,,0.39,0.3582,2.0,35.0,-22.241687499999998
22.0,18.335,6.0,0.0,-2.5,0.12,4.125,0.36,,1.0,33.0,34.0
,,23.461875,0.0,1.0,,0.0606,7.1,0.4478,,22.0,
0.0,0.0,0.0,0.0,1.0,0.1,0.0758,,12.497037500000001,,24.0,25.0
,0.0,0.0,0.0,1.0,0.1,0.0606,0.42,0.4627,0.0,,
2.0,0.0,0.0,0.0,1.0,0.1,,0.46,0.4627,,11.0,
3.0,0.0,0.0,0.0,1.0,0.1,,0.46,0.4179,,4.0,4.0
4.0,0.0,0.0,0.0,9.75,0.08,0.0909,0.53,0.194,0.0,1.0,
5.0,0.0,0.0,-4.8999999999999995,1.0,0.08,0.0909,,0.194,0.0,1.0,1.0
6.0,,0.0,0.0,1.0,3.31015,0.0909,0.49,0.2836,,,
,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.194,1.0,9.8523625,6.0
8.0,18.335,0.0,0.0,1.0,0.1,0.0909,-4.5,17.2698625,0.0,21.289862499999998,10.0
,0.0,0.0,0.0,1.0,0.12,0.0758,0.46,0.5224,0.0,19.0,
,0.0,13.8775,0.0,1.0,0.14,0.1061,0.43,0.3881,0.0,49.0,49.0
11.0,18.335,23.3200875,-4.8999999999999995,1.0,0.16,4.125,0.4,0.5224,-11.1,47.0,49.0
12.0,0.0,0.0,,1.0,0.18,-2.875,0.37,0.4478,,,-22.322812499999998
13.0,0.0,0.0,0.0,1.0,0.2,,,0.4478,6.0,69.0,75.0
12.785,0.0,0.0,0.0,,0.22,0.1818,0.32,0.4627,,64.0,72.0
15.0,0.0,0.0,0.0,1.0,0.22,0.197,0.35,,5.0,77.0,82.0
-6.25,0.0,0.0,0.0,9.75,0.2,-2.875,0.34,0.4478,13.0,79.0,92.0
,0.0,0.0,0.0,1.0,0.18,0.1515,7.1,17.2698625,3.0,59.0,62.0
-6.25,,0.0,,1.0,-2.35025,0.1364,0.4,-10.116437499999998,,44.0,-22.322812499999998
19.0,0.0,0.0,0.0,1.0,,0.1364,0.43,0.3284,,40.0,41.0
20.0,0.0,0.0,,1.0,0.14,0.1212,0.46,0.2537,-11.1,,38.0
21.0,,,0.0,1.0,0.14,0.1061,0.46,-7.4950625,1.0,19.0,20.0
22.0,0.0,0.0,0.0,1.0,,0.1212,-4.5,0.2985,5.0,10.0,15.0
23.0,0.0,0.0,,1.0,,0.1364,0.5,0.194,0.0,6.0,6.0
0.0,0.0,,1.0,1.0,0.12,0.1212,0.5,,2.0,3.0,5.0
1.0,0.0,23.461875,1.0,1.0,0.12,0.1212,0.5,0.2836,1.0,0.0,1.0
2.0,-11.225,1.0,1.0,1.0,0.12,0.1212,0.5,0.2239,,,3.0
3.0,18.335,1.0,-4.8999999999999995,1.0,-2.35025,0.1212,-4.5,-10.116437499999998,0.0,1.0,
4.0,0.0,1.0,1.0,1.0,,0.1212,0.54,17.2698625,1.0,,
5.0,0.0,-13.976812500000001,1.0,1.0,3.31015,0.1061,0.54,0.2537,-11.1,3.0,3.0
6.0,18.335,1.0,1.0,1.0,3.31015,,0.5,,0.0,31.0,
7.0,-11.225,1.0,1.0,1.0,3.31015,,0.5,0.2239,,75.0,77.0
8.0,,1.0,1.0,2.0,0.12,0.1212,0.5,,4.0,184.0,188.0
9.0,,1.0,1.0,2.0,0.14,0.1212,0.5,0.2537,2.0,92.0,94.0
12.785,0.0,,1.0,-6.25,0.14,0.1212,7.1,0.2985,18.259999999999998,31.0,31.0
11.0,0.0,23.3200875,1.0,2.0,,0.1364,0.47,0.2836,-11.1,28.0,30.0
12.0,0.0,1.0,1.0,2.0,0.2,0.1818,0.4,0.2836,5.0,47.0,52.0
13.0,-11.225,1.0,1.0,2.0,0.2,0.1818,0.4,0.2836,4.0,50.0,54.0
-7.9750000000000005,-11.225,1.0,8.14,2.0,0.2,-2.875,0.4,,-11.1,47.0,47.0
15.0,0.0,1.0,1.0,2.0,0.2,0.197,0.4,0.2239,2.0,43.0,45.0
16.0,0.0,1.0,1.0,1.0,-2.35025,0.2121,,0.1343,4.0,70.0,
-6.25,18.335,,,,0.2,4.125,0.4,0.1045,,174.0,178.0
18.0,,1.0,1.0,1.0,3.31015,,-4.5,0.2239,1.0,154.0,155.0
19.0,0.0,1.0,1.0,1.0,,0.1667,0.47,0.1642,3.0,9.8523625,95.0
20.0,-11.225,1.0,1.0,1.0,,0.1667,-4.5,0.1642,1.0,73.0,74.0
21.0,,1.0,1.0,1.0,0.14,0.1364,0.59,0.194,-11.1,21.289862499999998,38.0
22.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.59,17.2698625,-11.1,22.0,24.0
23.0,18.335,13.8775,1.0,1.0,3.31015,0.1515,0.59,0.1642,,18.0,18.0
,0.0,2.0,1.0,1.0,0.14,0.1667,0.59,0.1045,2.0,21.289862499999998,12.0
,0.0,2.0,1.0,1.0,0.14,0.1515,,0.1642,18.259999999999998,3.0,3.0
2.0,0.0,-8.462499999999999,1.0,2.0,0.16,0.1515,0.55,-7.4950625,0.0,3.0,3.0
5.0,0.0,2.0,-4.8999999999999995,2.0,0.16,0.1818,0.55,0.1343,0.0,6.0,6.0
6.0,,23.461875,1.0,2.0,0.16,0.1818,0.55,,0.0,27.0,27.0
7.0,18.335,2.0,15.568150000000001,2.0,0.16,,-4.5,0.0,,97.0,99.0
8.0,0.0,2.0,1.0,,0.18,0.2121,,0.0896,3.0,214.0,217.0
9.0,0.0,2.0,1.0,,0.18,0.197,,17.2698625,3.0,127.0,130.0
,0.0,2.0,1.0,2.0,0.2,,-4.5,0.1642,3.0,51.0,54.0
11.0,0.0,2.0,8.14,-6.25,0.2,0.2121,0.47,17.2698625,4.0,31.0,35.0
12.0,18.335,2.0,-4.8999999999999995,2.0,3.31015,0.2273,0.51,0.1045,2.0,55.0,-22.241687499999998
13.0,0.0,2.0,1.0,9.75,0.2,,0.59,0.0896,,46.0,52.0
14.0,0.0,2.0,,2.0,0.2,4.125,0.59,,3.0,60.0,63.0
15.0,0.0,2.0,15.568150000000001,-6.25,0.16,-4.0,-4.5,0.0896,2.0,45.0,47.0
16.0,0.0,2.0,1.0,2.0,0.16,0.1515,0.86,0.2239,4.0,72.0,
17.0,0.0,2.0,1.0,2.0,0.16,,0.86,-7.4950625,6.0,130.0,136.0
18.0,0.0,2.0,-4.8999999999999995,3.0,3.31015,0.1818,0.93,0.1045,1.0,94.0,95.0
,0.0,2.0,1.0,9.75,-2.35025,-2.875,-4.5,0.0,0.0,-12.616437499999998,
20.0,0.0,-8.462499999999999,1.0,3.0,0.16,0.1515,0.93,0.194,0.0,32.0,32.0
21.0,0.0,,1.0,3.0,0.16,0.197,0.86,-10.116437499999998,0.0,20.0,20.0
22.0,0.0,2.0,1.0,3.0,0.16,0.1818,0.93,0.1045,1.0,28.0,37.345012499999996
23.0,0.0,2.0,1.0,3.0,0.16,0.197,0.93,0.0896,1.0,18.0,19.0
0.0,0.0,3.0,1.0,2.0,0.16,0.197,7.1,0.0896,0.0,7.0,7.0
1.0,0.0,,1.0,2.0,0.16,0.1818,,0.1045,0.0,6.0,
2.0,0.0,3.0,1.0,1.0,0.14,0.1515,0.86,,0.0,1.0,1.0
5.0,0.0,3.0,,1.0,0.14,0.1515,0.86,,0.0,5.0,-22.241687499999998
6.0,0.0,3.0,8.14,1.0,,0.1515,0.93,0.1343,0.0,16.0,16.0
7.0,,,1.0,1.0,,0.1515,0.69,0.1343,0.0,,54.0
8.0,,3.0,1.0,1.0,,0.1667,0.59,0.1642,3.0,125.0,128.0
9.0,0.0,3.0,1.0,3.5,0.16,-2.875,0.59,0.3284,3.0,78.0,81.0
10.0,0.0,-8.462499999999999,1.0,-6.25,0.18,0.1818,,0.2239,0.0,39.0,39.0
11.0,0.0,3.0,1.0,1.0,,0.1818,0.51,0.3881,3.0,,35.0
,0.0,3.0,1.0,1.0,,0.1515,0.47,0.5821,3.0,52.0,
13.0,0.0,,,9.75,0.22,-2.875,,0.3582,0.0,49.0,49.0
14.0,0.0,3.0,1.0,1.0,,0.1818,0.47,0.3284,0.0,44.0,44.0
15.0,0.0,3.0,1.0,1.0,0.2,0.1667,0.47,0.4179,,48.0,49.0
,0.0,3.0,8.14,1.0,0.22,0.197,7.1,0.3284,5.0,63.0,68.0
17.0,18.335,3.0,1.0,1.0,,-2.875,0.47,0.3582,0.0,139.0,139.0
18.0,0.0,3.0,1.0,1.0,-2.35025,0.1515,0.47,0.5224,2.0,135.0,137.0
19.0,0.0,,1.0,1.0,,4.125,-4.5,17.2698625,1.0,82.0,83.0
20.0,0.0,,1.0,1.0,0.16,0.1364,-4.5,-7.4950625,18.259999999999998,54.0,37.3936875
-7.9750000000000005,0.0,3.0,1.0,,0.16,0.1364,0.55,0.3284,0.0,57.0,57.0
22.0,0.0,3.0,1.0,1.0,0.16,0.1212,0.55,,1.0,-12.616437499999998,33.0
23.0,0.0,3.0,-4.8999999999999995,1.0,0.14,0.1061,0.59,17.2698625,18.259999999999998,19.0,20.0
0.0,0.0,,1.0,1.0,0.14,0.1212,0.59,17.2698625,1.0,9.8523625,7.0
1.0,,-14.213125000000002,1.0,-6.25,0.14,0.1212,0.5,0.2836,0.0,9.8523625,
2.0,0.0,4.0,1.0,1.0,,4.125,0.5,0.3582,16.0,,37.3936875
3.0,,13.8775,1.0,1.0,0.14,0.1212,7.1,0.3284,0.0,3.0,3.0
4.0,18.335,4.0,1.0,-6.25,-2.35025,4.125,0.5,0.2537,0.0,4.0,4.0
5.0,0.0,4.0,1.0,1.0,0.14,0.1212,,0.2985,,3.0,3.0
6.0,0.0,4.0,-4.8999999999999995,-6.25,-2.35025,0.1515,0.54,0.1343,0.0,28.0,28.0
,0.0,4.0,1.0,1.0,0.12,0.1515,-4.5,0.1343,0.0,-12.616437499999998,72.0
12.785,0.0,4.0,1.0,-6.25,0.14,4.125,0.5,0.194,,197.0,202.0
9.0,0.0,,1.0,1.0,0.14,0.1212,,0.3284,2.0,137.0,37.3936875
10.0,18.335,4.0,,2.0,0.16,4.125,0.5,,,36.0,37.345012499999996
