diameter,height,length,rings,sex,shell-weight,shucked-weight,viscera-weight,whole-weight
90.0,37.0,116.0,11.0,1.0,57.0,78.9,54.4,199.1
89.0,28.0,118.0,12.0,9.59328196991496,56.0,71.2,incons,186.2
95.0,36.0,121.0,-55.75,-63.0,59.0,78.8,43.8,incons
85.0,28.0,115.0,11.0,0.0,incons,78.6,45.4,172.7
94.0,33.0,116.0,10.0,0.0,66.0,78.7,48.4,199.5
112.0,33.0,136.0,-55.75,1.0,92.0,130.25,56.1,327.8
105.0,33.0,133.0,18.0,0.0,90.2336265942186,110.3,71.5,91.65
110.0,incons,136.0,19.0,1.0,91.0,163.0,78.5,359.6
34.33468419958419,40.0,141.0,13.0,1.0,98.0,126.6,82.3,341.9
71.0,25.734012154490497,93.0,8.0,-63.0,25.0,45.4,24.8,95.9
95.0,31.0,108.0,16.0,1.0,68.0,106.1,61.5,243.4
71.0,21.0,99.20000000000002,-55.75,1.0,29.0,47.4,23.3,104.5
89.0,-85.5,115.0,152.25,1.0,52.0,76.2,40.7,176.6
58.0,18.0,71.0,9.0,0.0,18.0,26.8,-54.750000000000014,65.5
67.0,21.0,90.0,9.0,1.0,23.0,37.3,18.2,85.0
85.0,27.0,110.0,incons,1.0,54.0,72.4,39.2,170.3
35.0,9.0,48.0,5.0,3.0,4.0,6.3,4.7,14.0
30.0,11.0,41.0,5.0,-63.0,2.4,5.1,3.0,8.4
30.0,10.0,42.0,incons,3.0,3.0,3.5,2.5,91.65
59.0,19.0,78.0,-55.75,3.0,15.0,17.5,7.547924301929051,40.6
74.0,24.0,94.0,9.0,0.0,28.0,incons,incons,115.9
-59.5,24.0,92.0,7.0,1.0,30.0,35.5,22.0,92.1
49.0,14.0,65.0,6.0,-30.301471633911127,9.0,15.1,5.1,32.2
78.30880115179941,32.0,79.82305645695331,9.0,1.0,-80.625,130.25,42.7,167.1
-59.5,24.0,104.0,8.0,3.0,38.0,47.7,22.2,119.0
64.0,19.0,80.0,152.25,0.0,20.0,26.7,12.0,60.6
72.0,incons,97.0,10.0,0.0,32.0,51.9,19.2,108.3
72.0,-85.5,94.0,10.0,1.0,30.0,42.1,21.1,91.65
62.0,20.0,81.0,7.0,0.0,22.0,34.6,18.3,262.01352044993035
80.0,28.0,100.0,8.0,1.0,44.0,51.3,35.1,132.3
70.0,24.0,89.0,8.0,0.0,27.0,38.4,19.1,88.5
77.0,27.0,94.0,8.0,0.0,34.0,55.3,24.20835390995559,117.9
38.0,12.0,49.0,4.0,3.0,5.0,8.4,2.8,17.2
80.0,25.0,101.0,7.0,1.0,35.0,49.2,26.0,116.6
69.0,168.5,90.0,7.0,0.0,27.0,36.0,22.5,82.3
81.0,22.0,101.0,9.0,0.0,incons,61.0,32.0,125.0
82.0,-85.5,106.0,-55.75,1.0,40.0,60.4,38.7,139.3
65.0,19.0,85.0,7.0,0.0,20.0,34.1,68.43856826317894,75.7
80.0,24.0,104.0,8.0,0.0,37.0,46.8,26.3,116.0
71.0,24.0,95.0,8.0,0.0,27.0,46.8,20.3,96.0
170.5,32.0,113.0,12.0,1.0,83.22975118868403,70.8,38.7,183.0
99.0,37.0,119.0,13.0,1.0,97.0,83.2,44.8,106.62388225862217
incons,24.0,95.0,incons,1.0,194.375,42.7,23.1,106.1
47.0,incons,62.0,6.0,3.0,9.0,-49.55000000000001,8.1,30.2
85.0,26.0,111.0,13.0,0.0,55.0,52.8,incons,153.3
64.0,22.0,121.73561084269737,8.0,1.0,20.0,82.44427956024604,19.7,70.6
95.0,34.0,119.0,-16.61686195675502,1.0,incons,96.0,45.0,249.4
96.0,-85.5,114.0,11.0,0.0,76.0,94.8,52.2,237.0
9.424211251185113,39.0,121.0,13.0,1.0,63.0,96.2,72.92849634271128,219.6
95.0,incons,65.26367416153616,22.926563921413187,1.0,56.0,88.5,incons,201.5
95.0,-85.5,83.56145798964035,152.25,0.0,63.0,72.5,37.8,188.8
94.0,42.26921110837776,120.0,10.0,incons,61.0,72.6,38.8,184.4
85.0,28.0,111.0,11.0,1.0,57.0,56.4,-54.750000000000014,157.6
95.0,34.0,-44.400000000000006,14.0,1.0,69.0,93.9,incons,220.5
89.0,28.0,115.0,9.0,1.0,57.0,76.9,50.4,188.2
102.0,35.0,124.0,12.0,0.0,135.0,102.1,38.4,323.0
85.0,33.0,104.0,-55.75,1.0,64.0,79.2,45.0,197.7
95.0,32.0,135.86085249331927,21.0,0.0,116.0,81.6,46.8,263.5
170.5,28.0,116.0,14.0,0.0,72.0,76.0,43.2,202.6
93.0,36.0,114.0,12.0,1.0,88.0,67.8,44.5,259.0
93.0,28.0,125.0,13.0,0.0,80.0,96.5,41.0,239.0
88.0,32.0,112.0,10.0,0.0,194.375,66.1,41.5,172.9
71.0,26.0,92.0,9.0,1.0,33.0,44.1,60.6127539111703,103.4
90.0,incons,115.0,12.0,1.0,66.0,10.387210297038784,46.2,195.5
85.0,27.0,113.0,15.0,0.7895585640936571,51.0,68.2,33.5,162.3
88.0,30.0,111.0,12.0,0.0,52.0,61.4,60.79057918022719,151.0
93.0,168.5,119.0,13.0,incons,78.0,80.3,50.8,91.65
99.0,33.0,125.0,10.0,incons,78.0,101.4,63.6,252.4
112.0,38.0,139.0,15.0,0.0,97.0,117.6,-54.750000000000014,298.8
107.0,incons,133.0,14.0,0.0,96.0,115.1,-54.750000000000014,321.2
87.0,168.5,107.0,9.0,155.0,50.0,53.8,166.05,145.0
75.0,26.0,94.0,8.0,0.0,29.0,42.8,26.4,104.6
74.0,26.0,94.0,7.0,0.0,33.0,40.2,26.6,104.5
75.0,25.0,125.74070791509949,10.0,1.0,31.0,45.95427292746341,17.0,115.7
53.0,19.0,88.31962393906491,7.0,3.0,15.0,21.0,9.2,46.3
87.0,29.0,110.0,15.0,0.0,51.0,65.6,38.3,168.6
87.0,32.0,106.0,15.0,0.0,67.0,63.2,32.8,incons
incons,28.0,106.0,10.0,0.0,41.0,62.1,33.5,144.8
94.0,32.0,121.0,12.0,0.0,69.0,99.5,166.05,91.65
82.0,31.0,72.8660084236077,12.0,1.0,47.0,incons,36.7,145.4
86.0,33.0,incons,11.0,1.0,-9.58084443773253,58.7,36.6,61.6952998902336
61.165240413271675,25.0,100.0,10.0,1.0,44.0,52.2,26.3,133.5
incons,27.0,102.0,9.0,1.0,16.074105940658168,46.2,35.8,126.7
79.0,21.0,87.0,9.0,1.0,26.0,27.2,19.6,72.7
79.0,25.0,99.0,incons,incons,31.0,47.5,26.9,108.3
72.0,21.0,incons,9.0,0.0,35.0,34.4,21.4,86.2
64.0,16.0,87.0,9.0,3.0,21.0,29.7,12.7,66.5
70.0,21.0,85.0,9.0,0.0,incons,26.0,12.6,78.6
82.0,25.0,109.0,11.0,1.0,42.0,59.5,29.2,138.7
83.0,23.0,106.0,11.0,1.0,36.0,46.6,31.7,-42.75000000000001
incons,27.0,98.0,11.0,1.0,44.0,51.1,20.4,122.5
68.0,incons,88.0,10.0,0.0,33.0,incons,87.51183537581159,80.4
incons,30.0,112.0,9.0,1.0,62.0,69.3,34.4,176.5
61.0,17.0,81.0,8.0,0.0,17.0,22.9,11.9,52.1
73.0,-53.500000000000014,94.0,9.0,1.0,28.0,32.6,20.7,57.74795112353979
59.0,17.0,77.0,7.0,3.0,incons,20.6,11.5,50.7
85.0,168.5,103.0,14.0,1.0,51.0,60.8,34.5,153.2
170.5,15.0,74.0,6.0,0.0,14.0,18.0,-54.750000000000014,58.58990917857241
56.0,16.0,72.0,6.0,3.0,14.0,16.2,10.1,-47.38095032625938
incons,12.0,54.0,5.0,3.0,incons,5.7,4.7,14.6
55.0,incons,75.0,6.0,3.0,incons,21.5,10.9,47.6
58.0,17.0,77.0,152.25,3.0,16.0,22.4,12.2,50.1
107.0,incons,140.0,19.0,0.0,108.0,126.0,52.7,345.1
108.0,33.0,142.0,18.0,0.0,156.0,153.3,52.2,391.8
96.0,33.0,-44.400000000000006,17.0,0.0,20.520017443081002,96.7,56.6,252.4
70.0,25.0,88.0,9.0,1.0,25.8,35.0,12.6,80.7
52.0,18.0,65.0,7.0,1.0,incons,17.0,7.2,-42.75000000000001
52.0,19.0,70.0,7.0,3.0,13.6,17.2,11.2,42.2
40.0,13.0,53.0,7.0,3.0,5.6,-49.55000000000001,4.1,19.5
66.0,23.0,85.0,8.0,1.0,27.1,32.7,16.2,81.2
94.8272249763408,16.0,61.0,7.0,1.0,9.6,13.5,6.9,31.2
51.0,18.0,78.95261146109493,9.0,0.0,12.6,18.8,5.9,40.1
65.0,22.0,15.445438459699929,9.0,1.0,23.4,30.2,12.6,71.1
57.0,19.0,75.0,9.0,0.0,18.5,19.2,11.5,50.6
89.0,31.0,113.0,10.0,1.0,49.5,68.2,41.1,165.2
90.0,29.0,110.0,10.0,1.0,53.3,59.0,28.7,148.2
104.0,38.0,130.0,16.0,0.0,incons,103.8,61.2,268.9
91.0,31.0,112.0,37.829491434450105,0.0,48.5,68.0,38.0,159.4
75.0,26.0,96.08459372632292,10.0,0.0,34.0,41.5,23.3,103.5
45.00965947056932,25.0,98.0,10.0,-63.0,34.8,-49.55000000000001,21.5,incons
70.0,24.0,92.0,incons,0.0,31.3,44.8,21.6,103.0
105.08750746096862,16.0,incons,-71.60379222569273,-19.619929802975378,8.4,10.4,7.8,13.129724430730562
26.0,11.0,35.0,5.0,3.0,2.5,2.1,1.3,6.3
26.0,19.0,34.0,4.0,incons,2.0,incons,incons,6.0
3.7490340784554235,-3.818700819936616,118.0,15.0,0.0,65.0,-49.55000000000001,39.51203561168368,-42.75000000000001
100.0,37.0,121.0,9.0,incons,67.0,130.25,51.7,223.7
103.0,38.0,127.0,10.0,1.0,90.0,101.3,61.0,-42.75000000000001
97.0,32.0,121.0,10.0,1.0,71.0,74.0,47.1,211.3
90.0,27.0,113.0,12.0,1.0,62.0,77.4,29.9,197.7
81.0,26.0,103.0,10.0,0.0,42.0,64.0,26.2,144.4
92.0,38.0,-44.400000000000006,13.0,1.0,-80.625,78.4,17.924886577613027,198.8
97.0,43.0,95.1147909167017,16.0,0.0,127.0,109.2,52.3,incons
91.0,34.0,116.0,13.0,1.0,57.0,8.54675493826133,42.7,181.5
92.0,33.0,115.0,13.0,1.0,incons,59.7,35.7,224.8
54.829943960090446,33.0,121.0,13.0,0.0,68.0,84.3,49.5,incons
97.0,32.0,121.0,13.0,1.0,56.0,106.0,51.5,244.4
97.0,35.0,incons,12.0,0.0,69.0,108.8,59.4,248.9
112.0,42.0,145.0,18.0,1.0,201.0,84.01919002748582,-54.750000000000014,428.2
109.0,incons,130.0,152.25,1.0,163.0,112.1,57.9,-42.75000000000001
114.0,38.0,145.0,14.0,155.0,145.0,214.1,96.6,510.0
115.0,35.0,incons,20.0,incons,-80.625,153.0,65.52316987807579,424.8
114.0,41.0,136.0,20.0,1.0,130.0,125.0,81.6,368.4
112.0,44.0,141.0,14.0,0.0,152.0,163.5,61.7,396.2
103.0,35.0,136.0,12.0,1.0,124.0,102.5,81.8,323.7
110.0,43.0,139.0,14.0,0.0,118.0,142.5,108.2,391.3
79.0,29.0,106.0,7.0,1.0,51.0,61.6,33.8,155.0
-59.5,31.0,105.0,8.0,0.0,57.0,97.2,46.6,213.0
81.0,incons,104.0,8.0,1.0,44.0,64.0,36.9,incons
32.0,8.0,47.0,5.0,3.0,3.0,3.7,incons,9.6
52.0,18.0,72.0,7.0,3.0,194.375,12.9,7.4,168.79198371018492
42.0,12.0,63.0,5.0,3.0,incons,12.0,7.5,25.0
49.0,17.0,63.0,8.0,-63.0,10.0,26.80986983449756,9.5,28.7
32.0,9.0,45.0,4.0,3.0,42.33386678659684,5.0,3.0,191.71155506690317
95.0,30.0,116.0,11.0,0.0,70.0,77.0,43.3,194.0
96.0,36.0,114.0,14.0,0.0,59.0,79.8,40.0,187.9
incons,35.0,128.0,21.0,0.0,114.0,103.0,53.2,273.6
90.0,32.0,112.0,10.0,-63.0,60.0,85.8,53.6,204.7
95.0,35.0,124.0,10.0,1.0,65.0,87.1,42.8,203.3
102.0,40.0,129.0,12.0,1.0,92.0,130.25,36.16826565825193,313.5
98.0,168.5,124.0,13.0,0.0,71.0,109.1,59.3,243.6
96.0,30.0,161.03015019952,12.0,1.0,57.0,78.4,67.2,210.5
100.0,37.0,126.0,10.0,1.0,76.0,108.0,66.3,276.6
96.0,32.0,126.0,11.0,155.0,63.0,105.3,67.0,239.8
92.0,34.0,117.0,9.0,incons,58.0,73.0,54.2,186.5
96.0,36.0,123.0,13.0,0.0,194.375,96.9,43.3,231.9
97.0,incons,122.0,12.0,0.0,incons,83.8,48.1,204.5
90.0,incons,99.20000000000002,14.0,0.0,72.0,55.2,36.3,185.4
55.0,17.0,71.0,8.0,3.0,30.0,18.4,12.0,44.0
170.5,28.0,102.0,10.0,1.0,194.375,91.8,39.3,162.9
81.0,31.0,100.0,12.0,0.0,12.924460013776766,73.08998037013448,30.7,154.4
82.0,30.0,101.0,incons,1.0,9.824578118357024,57.0,29.0,50.134710845244456
100.0,37.0,128.0,16.0,0.0,93.0,88.9,52.7,260.7
90.0,32.0,incons,15.0,0.0,52.0,86.4,35.6,184.4
92.0,37.0,117.0,10.0,0.0,57.0,-20.433436367230684,42.6,184.4
109.57109108379483,incons,90.0,9.0,1.0,27.0,33.1,19.0,83.3
80.0,33.0,100.0,13.0,0.0,57.0,50.8,41.0,165.0
80.0,29.0,100.0,12.0,1.0,46.0,46.8,29.3,91.65
87.0,34.0,106.0,13.0,1.0,55.0,59.7,31.0,incons
11.591729039881514,23.0,-44.400000000000006,8.0,0.0,24.0,34.2,14.2,73.8
68.0,28.0,88.0,9.0,1.0,32.0,4.907977989799377,21.7,96.4
60.0,26.040457527436793,incons,9.0,3.0,24.0,21.8,13.4,63.0
90.48729026516772,22.0,87.0,-55.75,3.0,incons,29.9,17.0,75.9
incons,34.0,105.0,13.0,5.8852269641752715,62.0,-49.55000000000001,33.7,166.5
56.0,19.0,74.0,23.241507116693043,155.0,16.0,24.4,incons,53.1
73.0,29.0,98.0,-19.313392219180884,1.0,44.0,39.9,32.5,126.9
50.0,18.0,67.0,7.0,0.0,12.0,15.1,8.3,36.2
65.0,168.5,83.0,12.0,1.0,24.0,31.9,15.7,76.0
-59.5,28.0,100.0,9.0,-18.878575290017935,41.0,48.2,27.1,190.5200451243086
79.0,18.330788479111675,97.0,14.0,1.0,47.0,incons,25.6,132.0
81.0,28.0,110.0,10.0,0.0,51.0,48.8,32.7,91.65
70.0,26.0,90.0,8.0,0.0,27.0,34.8,22.2,92.0
60.0,24.0,81.0,7.0,3.0,22.0,25.3,14.0,incons
72.0,27.0,94.0,10.0,0.0,33.0,33.3,incons,100.2
incons,26.0,83.0,8.0,1.0,21.0,26.1,15.1,64.0
65.0,25.0,89.0,9.0,1.0,28.0,35.7,22.5,91.0
70.0,29.0,94.0,11.0,1.0,36.0,37.4,24.7,103.5
75.0,30.0,98.0,9.0,-2.556535003571115,38.0,44.0,28.8,115.1
71.0,30.0,89.0,11.0,1.0,31.0,36.2,25.0,97.0
76.0,21.0,85.0,10.0,-1.5494011515486972,20.0,25.7,15.7,65.3
incons,27.0,100.0,9.0,1.0,31.0,34.3,21.1,90.0
58.0,25.0,78.0,7.0,1.0,18.0,24.2,-54.750000000000014,61.1
54.0,17.0,incons,7.0,3.0,14.0,15.6,9.7,41.0
93.0,33.0,116.0,11.0,1.0,70.0,80.8,41.9,220.3
83.0,168.5,106.0,15.0,1.0,49.0,58.7,31.6,156.6
incons,27.0,111.0,13.0,155.0,55.0,67.2,32.5,167.2
88.0,incons,113.0,14.0,0.0,65.0,62.0,38.6,180.5
101.0,43.0,125.0,22.0,0.0,87.0,incons,57.4,289.1
43.0,15.0,55.0,7.0,-24.747590809287598,incons,9.7,32.849788811363666,23.1
70.0,27.0,88.0,12.0,3.0,25.0,36.3,16.6,87.0
45.0,16.0,59.0,9.0,3.0,8.0,9.7,6.4,24.8
11.0,2.0,15.0,1.0,3.0,17.52142671110289,43.630334485311295,0.1,0.4
20.0,6.0,-44.400000000000006,incons,3.0,0.8,0.9,0.6,2.6
18.0,6.0,22.0,incons,3.0,0.6,37.88074545671966,0.4,1.6
24.0,7.0,incons,5.0,3.0,1.0,1.5,0.9,4.2
85.0,32.0,113.0,17.0,0.0,55.0,69.9,166.05,188.5
40.0,14.0,54.0,5.0,3.0,incons,6.8,4.9,20.0
35.0,13.0,46.0,5.0,3.0,4.0,5.2,2.1,12.9
46.0,16.0,60.0,8.0,3.0,8.0,8.7,5.3,25.5
51.0,17.0,66.0,8.0,3.0,12.0,12.6,7.8,114.6033599568089
52.0,17.0,70.0,10.0,3.0,12.0,14.1,6.9,34.8
49.0,16.0,64.0,13.0,incons,10.0,12.7,6.5,91.95533003103303
55.0,17.0,72.0,9.0,3.0,14.0,14.9,8.3,39.5
49.0,4.4963497095419775,61.0,7.0,3.0,9.0,13.5,7.6,31.2
54.0,22.0,incons,7.0,3.0,14.0,16.4,10.9,10.818167048606227
50.0,21.0,66.0,7.0,3.0,12.0,13.1,49.39255585587665,34.3
incons,36.0,118.0,-55.75,0.0,72.0,84.1,56.1,224.7
91.0,31.0,119.0,12.0,5.042355347267009,60.0,102.7,43.3,incons
92.0,incons,115.0,15.0,1.0,69.0,89.7,43.4,-42.75000000000001
99.0,33.0,120.0,15.0,0.0,68.0,97.0,55.5,248.3
90.0,35.0,112.0,15.0,0.0,74.0,76.7,41.3,202.2
90.0,37.0,112.0,19.0,0.0,82.0,76.1,35.0,incons
92.0,incons,109.0,10.0,0.0,incons,68.2,33.1,203.34783580771122
101.0,34.0,127.0,15.0,1.0,73.0,121.0,incons,283.0
95.0,32.0,118.0,13.0,1.0,59.0,95.5,51.1,220.3
95.0,31.0,108.0,-55.75,1.0,52.0,78.8,38.8,185.6
88.0,25.0,114.0,12.0,1.0,54.0,73.5,34.5,173.0
84.0,33.0,106.0,11.0,-0.31978242596236583,49.0,130.25,47.8,178.9
-59.5,12.0,49.0,18.301196944511922,incons,5.2,8.9,4.9,19.0
-59.5,-85.5,54.0,6.0,0.0,8.0,9.3,5.6,24.1
76.0,26.0,92.0,11.0,1.0,32.0,60.0,30.5,127.8
90.0,30.0,104.0,14.0,0.0,47.0,15.979227140367854,37.2,179.0
55.0,22.0,70.0,8.0,18.132813390863674,18.1,24.5,12.7,58.5
65.07346990309112,30.0,94.0,9.0,0.0,51.0,43.7,17.7,127.1
incons,25.0,90.0,152.25,-63.0,34.0,40.7,20.0,99.9
105.0,43.0,128.0,22.0,1.0,110.0,90.7,57.1,355.8
100.0,40.0,118.0,16.0,0.0,74.0,69.57470202029909,54.1,237.4
97.0,41.0,124.0,14.0,0.0,77.0,77.5,50.1,243.8
101.0,45.0,126.0,15.0,0.0,90.0,112.0,66.7,305.0
103.0,31.0,126.0,13.0,0.0,39.891528434521334,82.1,39.4,-42.75000000000001
108.0,43.0,131.0,22.0,0.0,117.0,148.5,65.4,368.8
106.0,-14.025140391233833,132.0,12.0,1.0,98.0,98.6,49.0,269.7
incons,48.0,122.0,18.0,0.0,138.0,106.4,66.9,328.4
105.0,41.0,75.84748590451227,20.0,0.0,194.375,54.96773579047341,62.3,296.8
85.0,27.0,103.0,11.0,1.0,50.0,53.3,32.1,142.4
83.0,37.0,107.0,15.0,155.0,60.0,62.8,31.7,168.3
57.0,incons,72.0,7.0,3.0,15.0,18.3,11.4,48.3
71.0,24.0,91.0,9.0,1.0,30.0,35.4,20.8,89.9
79.0,28.0,97.0,14.0,0.0,45.0,45.7,25.4,125.9
76.0,35.0,103.0,14.0,0.0,-80.625,130.25,31.6,191.3
83.0,34.0,107.0,10.0,11.953622745114815,57.0,59.0,39.3,incons
87.0,31.520540541520834,incons,10.0,0.0,41.0,57.6,31.9,139.8
80.0,31.0,99.0,17.0,1.0,incons,48.4,166.05,185.58695046730156
71.0,incons,88.0,9.0,0.0,38.0,26.4,16.3,95.5
87.0,32.0,107.0,10.0,1.0,48.0,incons,35.9,incons
87.0,10.741385334503875,99.20000000000002,17.0,0.0,65.0,76.7,45.2,199.2
101.0,42.0,113.0,12.0,1.0,incons,incons,55.8,255.3
95.0,33.0,122.0,15.0,0.0,63.0,85.6,44.1,223.2
91.0,35.0,113.0,incons,incons,70.0,68.4,41.4,202.6
99.0,39.0,120.0,incons,0.0,75.0,76.8,38.0,211.5
43.0,17.0,114.96306472333899,6.0,3.0,8.0,9.8,6.8,25.6
41.0,15.0,55.0,6.0,3.0,7.0,-49.55000000000001,5.7,22.1
42.0,17.0,56.0,4.0,3.0,6.0,7.8,5.9,-42.75000000000001
79.84781669051142,28.0,98.0,11.0,incons,-21.28143620553695,44.3,166.05,109.8
56.0,21.0,74.0,9.0,0.0,15.0,18.1,11.7,46.8
61.0,incons,-44.400000000000006,9.0,155.0,20.0,29.1,17.9,69.7
87.0,35.0,108.0,-12.059220804892393,155.0,67.0,64.4,34.8,178.4
56.0,20.0,74.0,8.0,incons,14.8,21.3,11.9,125.07780946284203
54.0,20.0,72.0,6.0,0.0,14.3,17.7,9.9,43.4
72.0,168.5,incons,10.0,1.0,194.375,-49.55000000000001,3.290035387637751,94.4
29.0,12.0,40.0,4.0,3.0,2.2,130.25,1.9,7.4
24.0,6.0,33.0,3.0,3.0,39.32110036369467,1.4,1.0,4.3
103.0,48.0,129.0,13.0,0.0,107.0,94.2,73.8,308.3
incons,incons,110.0,14.0,0.0,39.0,50.1,38.84074482212968,152.1
87.0,11.27682198641898,114.0,10.0,0.0,55.0,78.5,47.1,181.1
97.0,38.0,126.0,21.0,155.0,incons,92.7,30.225046310563783,248.7
170.5,28.0,112.0,14.0,0.0,53.0,88.6,40.9,194.2
170.5,incons,incons,19.0,0.0,69.0,-49.55000000000001,64.7,266.1
94.0,40.0,124.0,23.0,1.0,87.0,76.2,54.0,245.1
97.0,35.0,-44.400000000000006,23.0,0.0,-80.625,86.7,58.9,260.0
71.0,22.0,90.0,8.0,3.0,28.0,incons,13.4,91.7
107.0,38.0,127.0,14.0,-63.0,78.0,115.2,49.5,248.4
70.0,20.0,90.0,10.0,0.0,24.0,29.3,20.3,73.5
91.0,31.0,116.0,18.0,1.0,64.0,63.0,27.7,167.3
51.0,19.0,66.0,-17.785941953033472,3.0,12.0,13.2,5.1,34.4
42.0,incons,53.0,5.0,3.0,incons,8.5,4.4,19.3
incons,8.0,38.0,4.0,3.0,3.0,3.3,1.3,7.6
62.0,20.0,77.0,11.0,incons,20.0,21.3,15.0,56.9
41.0,14.0,53.0,5.0,155.0,7.0,7.8,8.2,21.1
53.0,21.0,67.0,7.0,0.0,15.0,89.02198832136236,11.2,44.4
55.0,18.0,71.0,7.0,3.0,16.0,19.4,18.614736749391238,50.2
51.0,20.0,-44.400000000000006,-55.75,3.0,13.0,14.6,8.3,35.1
80.0,incons,102.0,12.0,0.0,41.0,54.0,33.3,128.7
59.0,21.0,72.0,8.0,0.0,incons,incons,10.6,48.2
56.0,18.0,72.0,8.0,3.0,18.0,17.7,8.0,45.1
76.0,31.0,100.0,12.0,0.0,40.0,42.7,32.2,119.1
65.0,24.0,80.0,8.0,1.0,19.0,26.8,11.3,63.7
44.0,16.0,60.0,incons,3.0,7.0,9.5,8.4,24.2
35.0,8.0,47.0,5.0,3.0,4.0,130.25,3.0,14.1
120.0,39.0,148.0,16.0,1.0,142.0,119.6,81.7,394.8
incons,38.0,124.0,11.0,0.0,71.0,114.1,incons,incons
95.0,38.0,120.0,14.0,155.0,65.0,80.6,53.1,217.5
90.0,37.0,118.0,16.0,0.0,85.0,93.332272982823,55.2,256.6
95.0,37.0,124.0,13.0,0.0,66.0,120.9,65.0,265.0
incons,39.0,113.0,-55.75,1.0,57.0,incons,50.1,200.7
91.0,29.0,115.0,14.0,0.0,60.0,130.25,45.5,incons
23.347580091822273,41.0,124.0,14.0,1.0,96.0,95.5,51.3,269.5
93.0,37.0,124.0,12.0,0.0,-1.8410329558870373,115.8,61.3,254.8
75.0,incons,101.0,12.0,1.0,32.78367625353285,46.5,29.9,incons
85.0,31.0,92.0,8.0,1.0,48.0,60.1,30.4,incons
78.0,28.0,incons,13.0,0.0,36.0,55.9,43.7,218.32304489343568
84.0,32.0,105.0,-2.675415601534864,1.0,55.0,54.9,34.6,151.2
52.0,16.0,68.0,6.0,3.0,11.0,16.0,incons,40.0
61.0,23.0,75.0,8.0,3.0,18.0,18.4,14.8,54.3
96.0,30.0,122.0,14.0,0.0,56.0,130.25,49.1,240.0
99.0,37.0,122.0,8.0,1.0,49.0,107.2,58.1,incons
31.942115579217123,-85.5,117.0,22.0,incons,54.0,66.5,32.7,173.7
92.0,28.0,97.10387769632081,12.0,0.0,49.0,-7.846039917754723,41.3,190.7
91.0,34.0,116.0,13.849678562990809,0.0,44.0,81.6,51.8,186.0
103.0,34.0,127.0,16.0,0.0,68.0,101.8,57.2,255.0
116.0,41.0,140.0,20.0,0.0,-80.625,148.3,98.0,426.0
105.0,37.0,135.0,13.0,0.0,79.0,138.7,67.2,317.4
105.0,38.0,-44.400000000000006,18.0,1.0,79.0,140.7,77.7,305.3810392814293
117.0,43.0,149.0,17.0,0.0,140.0,185.3,84.36654665130013,499.8
incons,-85.5,137.0,16.0,1.0,62.0500310486989,149.9,78.4,353.6
98.0,17.100014373552305,121.0,18.0,0.0,70.0,96.0,57.4,245.4
93.0,30.0,118.0,12.0,4.1115510859913735,-80.625,78.4,49.2,199.4
105.0,35.0,130.0,incons,1.0,89.0,122.0,59.9,284.5
96.0,30.0,99.20000000000002,16.0,1.0,59.0,incons,54.1,205.8
incons,35.0,124.0,12.0,incons,70.0,incons,60.3,incons
103.0,32.0,126.0,19.0,0.0,71.0,84.3,48.8,203.2
93.0,29.0,incons,11.0,0.0,53.0,88.1,33.1,177.4
